INFO  - 2013-11-03 09:26:24.886; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=501654535
INFO  - 2013-11-03 09:26:24.887; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@729cd826
INFO  - 2013-11-03 09:26:24.888; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-11-03 09:26:24.888; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-11-03 09:26:24.888; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-11-03 09:26:24.889; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-11-03 09:26:24.891; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-11-03 09:26:24.892; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-11-03 09:26:24.892; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/161484/solr-4.5.0/example/solr/collection1/data [CachedDir<<refCount=0;path=/Users/161484/solr-4.5.0/example/solr/collection1/data;done=false>>]
INFO  - 2013-11-03 09:26:24.893; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/161484/solr-4.5.0/example/solr/collection1/data
INFO  - 2013-11-03 09:26:24.893; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/161484/solr-4.5.0/example/solr/collection1/data/index [CachedDir<<refCount=0;path=/Users/161484/solr-4.5.0/example/solr/collection1/data/index;done=false>>]
INFO  - 2013-11-03 09:26:24.893; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/161484/solr-4.5.0/example/solr/collection1/data/index
